,Adjusted Grade,New?,Other Location Code in LCGMS,School Name,SED Code,Location Code,District,Latitude,Longitude,Address (Full),City,Zip,Grades,Grade Low,Grade High,Community School?,Economic Need Index,School Income Estimate,Student Attendance Rate,Percent of Students Chronically Absent,Rigorous Instruction %,Rigorous Instruction Rating,Collaborative Teachers %,Collaborative Teachers Rating,Supportive Environment %,Supportive Environment Rating,Effective School Leadership %,Effective School Leadership Rating,Strong Family-Community Ties %,Strong Family-Community Ties Rating,Trust %,Trust Rating,Student Achievement Rating,Average ELA Proficiency,Average Math Proficiency
267,,,,P.S. 070 MAX SCHOENFELD,320900010070,09X070,9,40.844394,-73.908023,"1691 WEEKS AVE BRONX, NY 10457",BRONX,10457,"0K,01,02,03,04,05",0K,5,No,0.916,28190.58,0.91,0.37,0.88,Meeting Target,0.87,Meeting Target,0.84,Approaching Target,0.82,Meeting Target,0.82,Approaching Target,0.9,Meeting Target,Approaching Target,2.1,2.26
268,,,,P.S. 073 BRONX,320900010073,09X073,9,40.83262,-73.926485,"1020 ANDERSON AVE BRONX, NY 10452",BRONX,10452,"PK,0K,01,02,03,04,05",PK,5,No,0.891,22580.13,0.9,0.41,0.85,Approaching Target,0.82,Approaching Target,0.82,Approaching Target,0.68,Approaching Target,0.83,Approaching Target,0.83,Approaching Target,Approaching Target,2.07,2.1
270,,,,P.S. 109 SEDGWICK,320900010109,09X109,9,40.851637,-73.918772,"1771 POPHAM AVE BRONX, NY 10453",BRONX,10453,"PK,0K,01,02,03,04,05",PK,5,No,0.874,26397.05,0.91,0.32,0.79,Approaching Target,0.69,Approaching Target,0.73,Approaching Target,0.57,Not Meeting Target,0.79,Approaching Target,0.77,Approaching Target,Approaching Target,2.19,2.17
272,,,,P.S. X114 - LUIS LLORENS TORRES SCHOOLS,320900010114,09X114,9,40.835007,-73.923347,"1155 CROMWELL AVE BRONX, NY 10452",BRONX,10452,"0K,01,02,03,04",0K,4,No,0.904,26823.06,0.92,0.31,0.95,Meeting Target,0.93,Meeting Target,0.95,Meeting Target,0.86,Meeting Target,0.83,Approaching Target,0.93,Meeting Target,Approaching Target,2.07,2.19
273,,,,I.S. 117 JOSEPH H. WADE,320900010117,09X117,9,40.848521,-73.908447,"1865 MORRIS AVE BRONX, NY 10453",BRONX,10453,"06,07,08",6,8,Yes,0.9,,0.89,0.39,0.77,Approaching Target,0.7,Approaching Target,0.8,Approaching Target,0.68,Not Meeting Target,0.8,Meeting Target,0.84,Approaching Target,Approaching Target,2.04,2.0
276,,,,P.S. 132 GARRET A. MORGAN,320900010132,09X132,9,40.832081,-73.906951,"1245 WASHINGTON AVE BRONX, NY 10456",BRONX,10456,"PK,0K,01,02,03,04,05",PK,5,No,0.928,22702.97,0.89,0.44,0.95,Meeting Target,0.76,Approaching Target,0.71,Approaching Target,0.6,Not Meeting Target,0.75,Not Meeting Target,0.74,Not Meeting Target,Approaching Target,2.07,2.18
277,,,,J.H.S. 145 ARTURO TOSCANINI,320900010145,09X145,9,40.827748,-73.913773,"1000 TELLER AVE BRONX, NY 10456",BRONX,10456,"05,06,07,08",5,8,Yes,0.888,,0.89,0.43,0.86,Approaching Target,0.81,Approaching Target,0.89,Approaching Target,0.72,Approaching Target,0.79,Meeting Target,0.86,Approaching Target,Approaching Target,2.09,1.98
283,,,,I.S. 219 NEW VENTURE SCHOOL,320900010219,09X219,9,40.833708,-73.903937,"3630 3RD AVE BRONX, NY 10456",BRONX,10456,"06,07,08",6,8,Yes,0.929,,0.9,0.35,0.82,Approaching Target,0.66,Not Meeting Target,0.81,Approaching Target,0.63,Not Meeting Target,0.7,Approaching Target,0.79,Approaching Target,Approaching Target,1.98,1.92
284,,,,I.S. 229 ROLAND PATTERSON,320900010229,09X229,9,40.841563,-73.929604,"275 HARLEM RIVER PARK BRIDGE BRONX, NY 10453",BRONX,10453,"05,06,07,08",5,8,No,0.885,,0.9,0.38,0.78,Approaching Target,0.65,Approaching Target,0.83,Approaching Target,0.63,Not Meeting Target,0.81,Meeting Target,0.81,Approaching Target,Approaching Target,2.1,1.99
285,x,,,EAGLE ACADEMY FOR YOUNG MEN,320900011231,09X231,9,40.845324,-73.897392,"4143 3RD AVE BRONX, NY 10457",BRONX,10457,"09,10,11,12",9,12,No,0.705,,0.94,0.18,0.82,Approaching Target,0.86,Meeting Target,0.77,Meeting Target,0.83,Meeting Target,0.85,Exceeding Target,0.89,Meeting Target,Approaching Target,2.21,2.13
286,,,,I.S. 232,320900010232,09X232,9,40.849461,-73.915529,"1700 MACOMBS RD BRONX, NY 10453",BRONX,10453,"06,07,08",6,8,No,0.872,,0.93,0.25,0.78,Approaching Target,0.65,Approaching Target,0.82,Meeting Target,0.59,Not Meeting Target,0.78,Approaching Target,0.79,Approaching Target,Meeting Target,2.16,2.27
287,,,,P.S. 236 LANGSTON HUGHES,320900010236,09X236,9,40.848826,-73.909699,"1871 WALTON AVE BRONX, NY 10453",BRONX,10453,"PK,0K,01,02,03,04,05",PK,5,No,0.882,26958.39,0.93,0.2,0.93,Meeting Target,0.93,Meeting Target,0.92,Exceeding Target,0.85,Meeting Target,0.87,Meeting Target,0.93,Meeting Target,Approaching Target,2.19,2.28
293,,,,I.S. 313 SCHOOL OF LEADERSHIP DEVELOPMENT,320900010313,09X313,9,40.840589,-73.90454,"1600 WEBSTER AVE BRONX, NY 10457",BRONX,10457,"06,07,08",6,8,Yes,0.881,,0.89,0.42,0.73,Not Meeting Target,0.8,Approaching Target,0.78,Approaching Target,0.6,Not Meeting Target,0.75,Approaching Target,0.79,Not Meeting Target,Meeting Target,2.05,2.05
294,,,,BRONX WRITING ACADEMY,320900010323,09X323,9,40.832278,-73.914142,"270 E 167TH ST BRONX, NY 10456",BRONX,10456,"06,07,08",6,8,No,0.892,,0.87,0.45,0.81,Meeting Target,0.78,Meeting Target,0.81,Meeting Target,0.7,Approaching Target,0.78,Approaching Target,0.87,Meeting Target,Meeting Target,2.21,2.17
295,,,,BRONX EARLY COLLEGE ACADEMY FOR TEACHING & LEARNING,320900011324,09X324,9,40.828111,-73.917661,"250 E 164TH ST BRONX, NY 10456",BRONX,10456,"06,07,08,09,10,11,12",6,12,Yes,0.819,,0.93,0.23,0.9,Exceeding Target,0.94,Exceeding Target,0.84,Meeting Target,0.88,Meeting Target,0.74,Approaching Target,0.9,Meeting Target,Meeting Target,2.17,2.16
296,,,,URBAN SCIENCE ACADEMY,320900010325,09X325,9,40.827748,-73.913773,"1000 TELLER AVE BRONX, NY 10456",BRONX,10456,"05,06,07,08",5,8,Yes,0.891,,0.9,0.36,0.77,Approaching Target,0.75,Approaching Target,0.84,Approaching Target,0.72,Approaching Target,0.84,Meeting Target,0.87,Meeting Target,Approaching Target,2.0,1.97
298,,,,NEW MILLENNIUM BUSINESS ACADEMY MIDDLE SCHOOL,320900010328,09X328,9,40.827748,-73.913773,"1000 TELLER AVE BRONX, NY 10456",BRONX,10456,"06,07,08",6,8,Yes,0.938,,0.9,0.38,0.9,Approaching Target,0.93,Meeting Target,0.84,Approaching Target,0.82,Meeting Target,0.8,Meeting Target,0.89,Meeting Target,Approaching Target,2.1,2.0
299,,,,I.S. 339,320900010339,09X339,9,40.840589,-73.90454,"1600 WEBSTER AVE BRONX, NY 10457",BRONX,10457,"06,07,08",6,8,Yes,0.913,,0.91,0.31,0.82,Approaching Target,0.75,Approaching Target,0.77,Approaching Target,0.66,Not Meeting Target,0.77,Approaching Target,0.77,Not Meeting Target,Approaching Target,2.05,2.04
300,,,,NEW DIRECTIONS SECONDARY SCHOOL,320900011350,09X350,9,40.839654,-73.911386,"240 E 172ND ST BRONX, NY 10457",BRONX,10457,"06,07,08,09,10,11,12",6,12,No,0.92,,0.66,0.74,0.66,Approaching Target,0.71,Not Meeting Target,0.93,Meeting Target,0.67,Approaching Target,0.78,Meeting Target,0.89,Meeting Target,Approaching Target,1.9,1.91
303,,,,THE FAMILY SCHOOL,320900010443,09X443,9,40.832033,-73.917519,"1116 SHERIDAN AVE BRONX, NY 10456",BRONX,10456,"0K,01,02,03,04,05",0K,5,No,0.898,27970.3,0.92,0.31,0.95,Meeting Target,0.93,Meeting Target,0.9,Meeting Target,0.82,Meeting Target,0.83,Meeting Target,0.94,Meeting Target,Meeting Target,2.24,2.22
304,,,,GRANT AVENUE ELEMENTARY SCHOOL,320900010449,09X449,9,40.828111,-73.917661,"250 E 164TH ST BRONX, NY 10456",BRONX,10456,"0K,01,02,03,04,05",0K,5,No,0.876,26370.44,0.93,0.24,0.93,Meeting Target,0.9,Exceeding Target,0.88,Meeting Target,0.89,Exceeding Target,0.9,Exceeding Target,0.94,Exceeding Target,Approaching Target,2.1,2.22
316,,,,P.S. 023 THE NEW CHILDREN'S SCHOOL,321000010023,10X023,10,40.85336,-73.894798,"2151 WASHINGTON AVE BRONX, NY 10457",BRONX,10457,"PK,0K,01,02",PK,2,No,0.905,24966.63,0.91,0.34,0.79,Approaching Target,0.89,Meeting Target,0.82,Approaching Target,0.78,Meeting Target,0.81,Approaching Target,0.91,Meeting Target,Meeting Target,2.13,2.14
322,,,,P.S. 046 EDGAR ALLAN POE,321000010046,10X046,10,40.858431,-73.887039,"2502 LORILLARD PL BRONX, NY 10458",BRONX,10458,"0K,01,02,03,04,05",0K,5,No,0.906,26555.51,0.92,0.29,0.9,Meeting Target,0.87,Meeting Target,0.89,Meeting Target,0.76,Approaching Target,0.81,Approaching Target,0.92,Meeting Target,Meeting Target,2.08,2.24
327,,,,J.H.S. 080 THE MOSHOLU PARKWAY,321000010080,10X080,10,40.876823,-73.88124,"149 E MOSHOLU PKWY BRONX, NY 10467",BRONX,10467,"06,07,08",6,8,Yes,0.827,,0.89,0.38,0.87,Approaching Target,0.79,Approaching Target,0.81,Approaching Target,0.7,Not Meeting Target,0.74,Approaching Target,0.84,Approaching Target,Meeting Target,2.16,2.07
329,,,,P.S. 085 GREAT EXPECTATIONS,321000010085,10X085,10,40.858852,-73.894829,"2400 MARION AVE BRONX, NY 10458",BRONX,10458,"0K,01,02,03,04,05",0K,5,Yes,0.925,23548.89,0.91,0.35,0.84,Approaching Target,0.82,Meeting Target,0.82,Approaching Target,0.7,Approaching Target,0.81,Approaching Target,0.85,Approaching Target,Approaching Target,2.02,2.05
332,,,,P.S. 094 KINGS COLLEGE SCHOOL,321000010094,10X094,10,40.88051,-73.875267,"3530 KINGS COLLEGE PL BRONX, NY 10467",BRONX,10467,"0K,01,02,03,04,05",0K,5,No,0.862,33404.63,0.91,0.34,0.86,Approaching Target,0.86,Approaching Target,0.88,Approaching Target,0.74,Approaching Target,0.82,Approaching Target,0.93,Meeting Target,Approaching Target,2.17,2.22
338,,,,I.S. 206 ANN MERSEREAU,321000010206,10X206,10,40.859604,-73.906275,"2280 AQUEDUCT AVE BRONX, NY 10468",BRONX,10468,"05,06,07,08",5,8,No,0.909,,0.91,0.33,0.89,Meeting Target,0.91,Meeting Target,0.83,Approaching Target,0.83,Meeting Target,0.84,Meeting Target,0.94,Exceeding Target,Approaching Target,2.06,2.12
345,,,,I.S. 254,321000010254,10X254,10,40.858858,-73.889841,"2452 WASHINGTON AVE BRONX, NY 10458",BRONX,10458,"06,07,08",6,8,No,0.885,,0.91,0.3,0.77,Approaching Target,0.83,Meeting Target,0.83,Meeting Target,0.74,Approaching Target,0.76,Approaching Target,0.88,Meeting Target,Exceeding Target,2.2,2.25
354,,,,THE BRONX SCHOOL OF YOUNG LEADERS,321000010331,10X331,10,40.851349,-73.910712,"40 W TREMONT ST BRONX, NY 10453",BRONX,10453,"06,07,08",6,8,Yes,0.894,,0.94,0.2,0.85,Meeting Target,0.86,Exceeding Target,0.85,Meeting Target,0.81,Meeting Target,0.84,Meeting Target,0.9,Meeting Target,Meeting Target,2.2,2.14
356,,,,INTERNATIONAL SCHOOL FOR LIBERAL ARTS,321000011342,10X342,10,40.870295,-73.897019,"2780 RESERVOIR AVE BRONX, NY 10468",BRONX,10468,"06,07,08,09,10,11,12",6,12,No,0.857,,0.97,0.08,0.91,Meeting Target,0.93,Exceeding Target,0.87,Meeting Target,0.88,Meeting Target,0.82,Meeting Target,0.92,Meeting Target,Meeting Target,2.15,2.18
358,,,,P.S. 360,321000010360,10X360,10,40.874718,-73.902209,"2880 KINGSBRIDGE TER BRONX, NY 10463",BRONX,10463,"0K,01,02,03,04,05",0K,5,No,0.794,39138.83,0.91,0.31,0.88,Approaching Target,0.82,Meeting Target,0.9,Meeting Target,0.67,Not Meeting Target,0.79,Approaching Target,0.86,Approaching Target,Approaching Target,2.22,2.13
359,,,,ACADEMY FOR PERSONAL LEADERSHIP AND EXCELLENCE,321000010363,10X363,10,40.859506,-73.900475,"120 E 184TH ST BRONX, NY 10468",BRONX,10468,"06,07,08",6,8,Yes,0.886,,0.92,0.27,0.92,Meeting Target,0.91,Meeting Target,0.87,Meeting Target,0.9,Meeting Target,0.8,Meeting Target,0.93,Meeting Target,Meeting Target,2.24,2.15
362,,,,SCHOOL FOR ENVIRONMENTAL CITIZENSHIP,321000010386,10X386,10,40.855211,-73.903264,"125 E 181ST ST BRONX, NY 10453",BRONX,10453,"PK,0K,01,02,03,04,05",PK,5,No,0.931,23981.38,0.93,0.23,0.83,Approaching Target,0.83,Meeting Target,0.89,Meeting Target,0.72,Approaching Target,0.83,Approaching Target,0.86,Approaching Target,Approaching Target,2.23,2.25
363,,,,M.S. 390,321000010390,10X390,10,40.854367,-73.913024,"1930 ANDREWS AVE BRONX, NY 10453",BRONX,10453,"05,06,07,08",5,8,No,0.911,,0.93,0.24,0.84,Meeting Target,0.84,Approaching Target,0.82,Meeting Target,0.8,Meeting Target,0.77,Meeting Target,0.86,Approaching Target,Approaching Target,2.15,2.13
364,,,,THE ANGELO PATRI MIDDLE SCHOOL,321000010391,10X391,10,40.854655,-73.897036,"2225 WEBSTER AVE BRONX, NY 10457",BRONX,10457,"06,07,08",6,8,Yes,0.911,,0.9,0.35,0.86,Approaching Target,0.84,Approaching Target,0.82,Approaching Target,0.78,Approaching Target,0.8,Meeting Target,0.88,Meeting Target,Meeting Target,2.09,1.98
367,,,,EAST FORDHAM ACADEMY FOR THE ARTS,321000011459,10X459,10,40.859506,-73.900475,"120 E 184TH ST BRONX, NY 10468",BRONX,10468,"06,07,08",6,8,No,0.881,,0.92,0.27,0.77,Approaching Target,0.78,Approaching Target,0.83,Meeting Target,0.71,Not Meeting Target,0.78,Approaching Target,0.83,Approaching Target,Approaching Target,2.14,1.97
384,,,,P.S. 111 SETON FALLS,321100010111,11X111,11,40.884355,-73.839263,"3740 BAYCHESTER AVE BRONX, NY 10466",BRONX,10466,"PK,0K,01,02,03,04,05",PK,5,No,0.779,39415.18,0.91,0.34,0.78,Approaching Target,0.64,Approaching Target,0.79,Approaching Target,0.5,Not Meeting Target,0.77,Not Meeting Target,0.73,Approaching Target,Approaching Target,2.12,2.15
385,,,,P.S. 112 BRONXWOOD,321100010112,11X112,11,40.884792,-73.843995,"1925 SCHEIFFELIN AVE BRONX, NY 10466",BRONX,10466,"PK,0K,01,02,03,04,05",PK,5,Yes,0.904,26709.85,0.91,0.44,0.9,Approaching Target,0.94,Meeting Target,0.91,Approaching Target,0.87,Meeting Target,0.85,Meeting Target,0.96,Exceeding Target,Approaching Target,2.08,2.09
398,,,,NORTH BRONX SCHOOL OF EMPOWERMENT,321100010287,11X287,11,40.880634,-73.860155,"3710 BARNES AVE BRONX, NY 10467",BRONX,10467,"06,07,08,SE",6,8,No,0.737,,0.89,0.39,0.86,Approaching Target,0.84,Meeting Target,0.78,Approaching Target,0.84,Meeting Target,0.73,Approaching Target,0.88,Meeting Target,Approaching Target,2.15,1.97
399,,,,THE YOUNG SCHOLARS ACADEMY OF THE BRONX,321100010289,11X289,11,40.880634,-73.860155,"3710 BARNES AVE BRONX, NY 10467",BRONX,10467,"06,07,08,SE",6,8,Yes,0.731,,0.91,0.33,0.9,Meeting Target,0.9,Approaching Target,0.74,Approaching Target,0.82,Meeting Target,0.75,Approaching Target,0.88,Approaching Target,Approaching Target,2.16,2.09
401,,,,BRONX ALLIANCE MIDDLE SCHOOL,321100010355,11X355,11,40.886043,-73.840576,"3750 BAYCHESTER AVE BRONX, NY 10466",BRONX,10466,"06,07,08",6,8,No,0.729,,0.93,0.26,0.84,Approaching Target,0.89,Approaching Target,0.82,Approaching Target,0.82,Meeting Target,0.84,Meeting Target,0.92,Exceeding Target,Approaching Target,2.08,2.08
402,,,,LEADERS OF TOMORROW,321100010370,11X370,11,40.880634,-73.860155,"3710 BARNES AVE BRONX, NY 10467",BRONX,10467,"06,07,08",6,8,Yes,0.771,,0.88,0.46,0.93,Meeting Target,0.88,Meeting Target,0.81,Approaching Target,0.88,Meeting Target,0.77,Approaching Target,0.91,Meeting Target,Approaching Target,2.13,2.06
408,,,,BRONX PARK MIDDLE SCHOOL,321100010556,11X556,11,40.86206,-73.864588,"2441 WALLACE AVE BRONX, NY 10467",BRONX,10467,"06,07,08",6,8,No,0.77,,0.92,0.27,0.89,Meeting Target,0.88,Exceeding Target,0.8,Meeting Target,0.83,Meeting Target,0.84,Meeting Target,0.9,Meeting Target,Approaching Target,2.19,2.15
411,,,,P.S. 006 WEST FARMS,321200010006,12X006,12,40.840605,-73.88219,"1000 E TREMONT AVE BRONX, NY 10460",BRONX,10460,"PK,0K,01,02,03,04,05",PK,5,No,0.932,23200.82,0.89,0.45,0.89,Approaching Target,0.88,Approaching Target,0.83,Not Meeting Target,0.67,Not Meeting Target,0.82,Approaching Target,0.88,Approaching Target,Approaching Target,2.12,2.22
416,,,,P.S. 066 SCHOOL OF HIGHER EXPECTATIONS,321200010066,12X066,12,40.831394,-73.886584,"1001 JENNINGS ST BRONX, NY 10460",BRONX,10460,"PK,0K,01,02,03,04,05",PK,5,No,0.892,27311.75,0.92,0.31,0.87,Meeting Target,0.85,Meeting Target,0.87,Meeting Target,0.69,Approaching Target,0.82,Approaching Target,0.87,Approaching Target,Approaching Target,2.2,2.2
418,,,,P.S. 092 BRONX,321200010092,12X092,12,40.846335,-73.889323,"700 E 179TH ST BRONX, NY 10457",BRONX,10457,"PK,0K,01,02,03,04,05",PK,5,Yes,0.923,24153.23,0.9,0.42,0.82,Not Meeting Target,0.78,Approaching Target,0.81,Not Meeting Target,0.65,Not Meeting Target,0.85,Meeting Target,0.85,Approaching Target,Approaching Target,2.0,1.9
419,,,,J.H.S. 098 HERMAN RIDDER,321200010098,12X098,12,40.835821,-73.890983,"1619 BOSTON RD BRONX, NY 10460",BRONX,10460,"06,07,08",6,8,No,0.865,,0.9,0.35,0.85,Approaching Target,0.9,Approaching Target,0.76,Approaching Target,0.87,Meeting Target,0.91,Exceeding Target,0.92,Meeting Target,Meeting Target,2.07,2.15
422,,,,P.S. 150 CHARLES JAMES FOX,321200010150,12X150,12,40.826198,-73.894273,"920 E 167TH ST BRONX, NY 10459",BRONX,10459,"PK,0K,01,02,03,04,05",PK,5,No,0.877,24836.47,0.91,0.35,0.92,Meeting Target,0.91,Meeting Target,0.9,Approaching Target,0.81,Meeting Target,0.84,Approaching Target,0.93,Meeting Target,Approaching Target,2.19,2.26
424,,,,P.S. 195,321200010195,12X195,12,40.830906,-73.877497,"1250 WARD AVE BRONX, NY 10472",BRONX,10472,"02,03,04,05",2,5,No,0.913,27483.68,0.92,0.29,0.9,Approaching Target,0.91,Approaching Target,0.89,Approaching Target,0.82,Meeting Target,0.85,Meeting Target,0.92,Meeting Target,Approaching Target,2.07,2.19
427,,,,P.S. 212,321200010212,12X212,12,40.828715,-73.900452,"1180 TINTON AVE BRONX, NY 10456",BRONX,10456,"PK,0K,01,02,03,04,05,06,07,08",PK,8,No,0.891,26962.88,0.91,0.35,0.89,Approaching Target,0.9,Meeting Target,0.84,Approaching Target,0.84,Meeting Target,0.78,Approaching Target,0.9,Meeting Target,Meeting Target,2.15,2.26
429,,,,SCHOOL OF PERFORMING ARTS,321200010217,12X217,12,40.822084,-73.894038,"977 FOX ST BRONX, NY 10459",BRONX,10459,"06,07,08",6,8,Yes,0.87,,0.9,0.38,0.79,Approaching Target,0.77,Approaching Target,0.71,Approaching Target,0.73,Approaching Target,0.82,Meeting Target,0.82,Approaching Target,Approaching Target,2.11,1.98
432,,,,EAST BRONX ACADEMY FOR THE FUTURE,321200011271,12X271,12,40.836839,-73.887671,"1716 SOUTHERN BLVD BRONX, NY 10460",BRONX,10460,"06,07,08,09,10,11,12",6,12,Yes,0.853,,0.87,0.48,0.85,Meeting Target,0.91,Exceeding Target,0.84,Meeting Target,0.92,Exceeding Target,0.75,Approaching Target,0.93,Meeting Target,Meeting Target,2.23,2.16
434,,,,FANNIE LOU HAMER MIDDLE SCHOOL,321200010286,12X286,12,40.831394,-73.886584,"1001 JENNINGS ST BRONX, NY 10460",BRONX,10460,"06,07,08,SE",6,8,Yes,0.843,,0.92,0.2,0.89,Meeting Target,0.94,Meeting Target,0.86,Meeting Target,0.93,Exceeding Target,0.8,Meeting Target,0.94,Exceeding Target,Meeting Target,2.23,2.17
435,,,,THE SCHOOL OF SCIENCE AND APPLIED LEARNING,321200010300,12X300,12,40.84624,-73.887388,"2050 PROSPECT AVE BRONX, NY 10457",BRONX,10457,"PK,0K,01,02,03,04,05",PK,5,No,0.917,21603.69,0.89,0.46,0.93,Approaching Target,0.94,Meeting Target,0.91,Approaching Target,0.9,Exceeding Target,0.88,Meeting Target,0.96,Exceeding Target,Approaching Target,2.15,2.18
438,,,,"I.S. X318 MATH, SCIENCE & TECHNOLOGY THROUGH ARTS",321200010318,12X318,12,40.84385,-73.890063,"1919 PROSPECT AVE BRONX, NY 10457",BRONX,10457,"06,07,08",6,8,No,0.878,,0.88,0.38,0.85,Meeting Target,0.79,Meeting Target,0.83,Approaching Target,0.73,Approaching Target,0.79,Meeting Target,0.9,Meeting Target,Meeting Target,2.15,2.16
439,,,,ACCION ACADEMY,321200010341,12X341,12,40.842605,-73.890915,"1825 PROSPECT AVE BRONX, NY 10457",BRONX,10457,"06,07,08",6,8,No,0.903,,0.88,0.4,0.85,Exceeding Target,0.91,Exceeding Target,0.83,Approaching Target,0.87,Meeting Target,0.8,Meeting Target,0.92,Meeting Target,Meeting Target,2.2,2.07
442,,,,ENTRADA ACADEMY,321200010384,12X384,12,40.822084,-73.894038,"977 FOX ST BRONX, NY 10459",BRONX,10459,"06,07,08",6,8,Yes,0.868,,0.92,0.23,0.74,Not Meeting Target,0.73,Approaching Target,0.8,Meeting Target,0.7,Not Meeting Target,0.77,Approaching Target,0.85,Approaching Target,Approaching Target,2.04,1.97
443,,,,URBAN SCHOLARS COMMUNITY SCHOOL,321200010463,12X463,12,40.828715,-73.900452,"1180 TINTON AVE BRONX, NY 10456",BRONX,10456,"PK,0K,01,02,03,04,05",PK,5,Yes,0.915,28867.61,0.92,0.33,0.96,Meeting Target,0.91,Meeting Target,0.89,Meeting Target,0.86,Meeting Target,0.87,Meeting Target,0.93,Meeting Target,Meeting Target,2.13,2.1
444,,,,ARCHER ELEMENTARY SCHOOL,321200010531,12X531,12,40.838212,-73.866026,"1827 ARCHER ST BRONX, NY 10460",BRONX,10460,"PK,0K,01,02,03,04,05",PK,5,No,0.848,33924.52,0.93,0.24,0.88,Meeting Target,0.89,Meeting Target,0.87,Meeting Target,0.9,Exceeding Target,0.83,Approaching Target,0.93,Meeting Target,Approaching Target,2.11,2.23
454,,,,P.S. 054 SAMUEL C. BARNES,331300010054,13K054,13,40.692697,-73.952501,"195 SANFORD ST BROOKLYN, NY 11205",BROOKLYN,11205,"PK,0K,01,02,03,04,05",PK,5,No,0.853,37511.84,0.9,0.42,0.93,Meeting Target,0.92,Meeting Target,0.87,Approaching Target,0.85,Meeting Target,0.9,Exceeding Target,0.93,Meeting Target,Approaching Target,2.04,2.09
456,,,,P.S. 067 CHARLES A. DORSEY,331300010067,13K067,13,40.695143,-73.977889,"51 ST EDWARDS ST BROOKLYN, NY 11205",BROOKLYN,11205,"PK,0K,01,02,03,04,05",PK,5,Yes,0.938,39140.78,0.91,0.36,0.94,Approaching Target,0.89,Approaching Target,0.91,Approaching Target,0.82,Meeting Target,0.87,Meeting Target,0.89,Meeting Target,Meeting Target,2.09,2.15
461,,,,DR. SUSAN S. MCKINNEY SECONDARY SCHOOL OF THE ARTS,331300010265,13K265,13,40.697012,-73.976044,"101 PARK AVE BROOKLYN, NY 11205",BROOKLYN,11205,"06,07,08,09,10,11,12",6,12,No,0.782,,0.91,0.36,0.86,Meeting Target,0.85,Meeting Target,0.81,Approaching Target,0.85,Meeting Target,0.79,Meeting Target,0.87,Approaching Target,Meeting Target,2.24,2.08
462,,,,M.S. K266 - PARK PLACE COMMUNITY MIDDLE SCHOOL,331300010266,13K266,13,40.678907,-73.9465,"31 NEW YORK AVE BROOKLYN, NY 11216",BROOKLYN,11216,"06,07,08",6,8,No,0.689,,0.91,0.33,0.84,Approaching Target,0.88,Meeting Target,0.75,Approaching Target,0.85,Meeting Target,0.85,Exceeding Target,0.92,Meeting Target,Approaching Target,2.23,2.1
463,,,,P.S. 270 JOHANN DEKALB,331300010270,13K270,13,40.689626,-73.961094,"241 EMERSON PL BROOKLYN, NY 11205",BROOKLYN,11205,"PK,0K,01,02,03,04,05",PK,5,No,0.886,40603.12,0.89,0.44,0.82,Not Meeting Target,0.8,Approaching Target,0.84,Approaching Target,0.71,Approaching Target,0.82,Approaching Target,0.88,Meeting Target,Meeting Target,2.18,2.2
465,,,,P.S. 287 BAILEY K. ASHFORD,331300010287,13K287,13,40.697861,-73.981047,"50 NAVY ST BROOKLYN, NY 11201",BROOKLYN,11201,"PK,0K,01,02,03,04,05",PK,5,No,0.902,35929.65,0.88,0.52,0.94,Meeting Target,0.88,Meeting Target,0.94,Approaching Target,0.8,Meeting Target,0.77,Not Meeting Target,0.87,Meeting Target,Approaching Target,2.14,2.1
466,,,,SATELLITE EAST MIDDLE SCHOOL,331300010301,13K301,13,40.685945,-73.945303,"344 MONROE ST BROOKLYN, NY 11216",BROOKLYN,11216,"06,07,08",6,8,Yes,0.856,,0.88,0.47,0.89,Approaching Target,0.86,Meeting Target,0.84,Approaching Target,0.8,Approaching Target,0.79,Meeting Target,0.85,Approaching Target,Approaching Target,2.14,1.99
467,,,,P.S. 305 DR. PETER RAY,331300010305,13K305,13,40.685945,-73.945303,"344 MONROE ST BROOKLYN, NY 11216",BROOKLYN,11216,"PK,0K,01,02,03,04,05",PK,5,No,0.834,40387.97,0.89,0.44,0.79,Approaching Target,0.8,Meeting Target,0.86,Approaching Target,0.63,Not Meeting Target,0.79,Not Meeting Target,0.79,Not Meeting Target,Approaching Target,2.04,1.99
469,,,,SATELLITE WEST MIDDLE SCHOOL,331300010313,13K313,13,40.701781,-73.981587,"209 YORK ST BROOKLYN, NY 11201",BROOKLYN,11201,"06,07,08",6,8,No,0.859,,0.87,0.47,0.91,Meeting Target,0.87,Meeting Target,0.88,Approaching Target,0.84,Meeting Target,0.84,Meeting Target,0.89,Meeting Target,Meeting Target,2.19,2.25
470,,,,THE URBAN ASSEMBLY UNISON SCHOOL,331300010351,13K351,13,40.684336,-73.960549,"170 GATES AVE BROOKLYN, NY 11238",BROOKLYN,11238,"06,07,08",6,8,No,0.78,,0.9,0.37,0.75,Not Meeting Target,0.88,Meeting Target,0.68,Approaching Target,0.89,Exceeding Target,0.86,Exceeding Target,0.87,Meeting Target,Approaching Target,2.21,2.07
480,,,,J.H.S. 050 JOHN D. WELLS,331400010050,14K050,14,40.711863,-73.960049,"183 S 3RD ST BROOKLYN, NY 11211",BROOKLYN,11211,"06,07,08",6,8,Yes,0.822,,0.89,0.4,0.82,Approaching Target,0.8,Approaching Target,0.81,Approaching Target,0.66,Not Meeting Target,0.78,Meeting Target,0.85,Approaching Target,Meeting Target,2.13,2.11
